1,You're an awesome friend.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
2,You look great today.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
3,You’re a smart cookie.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
4,I bet you make babies smile.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
5,You have impeccable manners.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
6,I like your style.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
7,You have the best laugh.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
8,I appreciate you.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
9,You are the most perfect you there is.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
10,Our system of inside jokes is so advanced that only you and I get it. And I like that.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
11,You’re strong.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
12,Your perspective is refreshing.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
13,You’re an awesome friend.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
14,You light up the room.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
15,You deserve a hug right now.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
16,You should be proud of yourself.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
17,You’re more helpful than you realize.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
18,You have a great sense of humor.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
19,You’ve got all the right moves!,0,2018-08-11 9:58:26,2018-08-11 9:58:26
20,Is that your picture next to “charming” in the dictionary?,0,2018-08-11 9:58:26,2018-08-11 9:58:26
21,Your kindness is a balm to all who encounter it.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
22,You’re all that and a super-size bag of chips.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
23,"On a scale from 1 to 10, you’re an 11.",0,2018-08-11 9:58:26,2018-08-11 9:58:26
24,You are brave.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
25,You’re even more beautiful on the inside than you are on the outside.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
26,You have the courage of your convictions.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
27,Aside from food. You’re my favorite.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
28,"If cartoon bluebirds were real, a bunch of them would be sitting on your shoulders singing right now.",0,2018-08-11 9:58:26,2018-08-11 9:58:26
29,You are making a difference.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
30,You’re like sunshine on a rainy day.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
31,You bring out the best in other people.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
32,Your ability to recall random factoids at just the right time is impressive.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
33,You’re a great listener.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
34,"How is it that you always look great, even in sweatpants?",0,2018-08-11 9:58:26,2018-08-11 9:58:26
35,Everything would be better if more people were like you!,0,2018-08-11 9:58:26,2018-08-11 9:58:26
36,I bet you sweat glitter.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
37,You were cool way before hipsters were cool.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
38,That color is perfect on you.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
39,Hanging out with you is always a blast.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
40,You always know — and say — exactly what I need to hear when I need to hear it.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
41,You smell really good.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
42,"You may dance like no one’s watching, but everyone’s watching because you’re an amazing dancer!",0,2018-08-11 9:58:26,2018-08-11 9:58:26
43,Being around you makes everything better!,0,2018-08-11 9:58:26,2018-08-11 9:58:26
44,"When you say, “I meant to do that,” I totally believe you.",0,2018-08-11 9:58:26,2018-08-11 9:58:26
45,When you’re not afraid to be yourself is when you’re most incredible.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
46,Colors seem brighter when you’re around.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
47,"You’re more fun than a ball pit filled with candy. (And seriously, what could be more fun than that?)",0,2018-08-11 9:58:26,2018-08-11 9:58:26
48,That thing you don’t like about yourself is what makes you so interesting.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
49,You’re wonderful.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
50,Everyday is just BLAH when I don’t see you For reals! (awesome – you are halfway through the list. You’re awesome!),0,2018-08-11 9:58:26,2018-08-11 9:58:26
51,Jokes are funnier when you tell them.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
52,You’re better than a triple-scoop ice cream cone. With sprinkles.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
53,Your bellybutton is kind of adorable.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
54,Your hair looks stunning.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
55,You’re one of a kind!,0,2018-08-11 9:58:26,2018-08-11 9:58:26
56,You’re inspiring.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
57,"If you were a box of crayons, you’d be the giant name-brand one with the built-in sharpener.",0,2018-08-11 9:58:26,2018-08-11 9:58:26
58,You should be thanked more often. So thank you!!,0,2018-08-11 9:58:26,2018-08-11 9:58:26
59,Our community is better because you’re in it.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
60,Someone is getting through something hard right now because you’ve got their back.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
61,You have the best ideas.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
62,You always know how to find that silver lining.,0,2018-08-11 9:58:26,2018-08-11 9:58:26
